RefId,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,VNZIP1,VehBCost,IsOnlineSale,WarrantyCost,IsBadBuy
1,2005,4,DODGE,STRATUS V6,SXT,4D SEDAN SXT FFV,MAROON,AUTO,Covers,73807,AMERICAN,MEDIUM,CHRYSLER,3202.0,4760.0,6943.0,8457.0,4035.0,5557.0,7146.0,8702.0,33619,4900.0,No,1389,No
2,2004,5,DODGE,NEON,SXT,4D SEDAN,SILVER,AUTO,Alloy,65617,AMERICAN,COMPACT,CHRYSLER,1893.0,2675.0,4658.0,5690.0,1844.0,2646.0,4375.0,5518.0,33619,4100.0,No,630,No
3,2005,4,FORD,FOCUS,Other,2D COUPE ZX3,SILVER,MANUAL,Covers,69367,AMERICAN,COMPACT,FORD,3913.0,5054.0,7723.0,8707.0,3247.0,4384.0,6739.0,7911.0,33619,4000.0,No,1020,No
4,2004,5,MITSUBISHI,GALANT 4C,ES,4D SEDAN ES,WHITE,AUTO,Covers,81054,OTHER ASIAN,MEDIUM,OTHER,3901.0,4908.0,6706.0,8577.0,4709.0,5827.0,8149.0,9451.0,33619,5600.0,No,594,No
5,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,WHITE,AUTO,Alloy,76173,AMERICAN,LARGE TRUCK,CHRYSLER,6407.0,8051.0,10378.0,12443.0,7159.0,8934.0,11135.0,12560.0,33619,8800.0,No,920,No
6,2007,3,SUZUKI,FORENZA,Other,4D SEDAN,GOLD,AUTO,Covers,35796,OTHER ASIAN,MEDIUM,OTHER,5019.0,5870.0,8484.0,9263.0,5451.0,6336.0,8617.0,9919.0,33619,5900.0,No,462,No
7,2006,4,SUZUKI,FORENZA,Other,4D SEDAN,RED,AUTO,Alloy,72479,OTHER ASIAN,MEDIUM,OTHER,3620.0,4720.0,6484.0,8037.0,4439.0,5373.0,7460.0,9030.0,33619,4600.0,No,569,No
8,2005,5,DODGE,DURANGO 2WD V8,ST,4D SUV 4.7L ST,RED,AUTO,Covers,79957,AMERICAN,MEDIUM SUV,CHRYSLER,6242.0,8058.0,10261.0,12091.0,6698.0,7400.0,11325.0,11897.0,33619,7700.0,No,1389,No
9,2005,5,FORD,F150 PICKUP 2WD V8,Lar,CREW CAB 5.4L KING RANCH,GREY,AUTO,Alloy,86702,AMERICAN,LARGE TRUCK,FORD,12004.0,15664.0,17400.0,21702.0,11520.0,14974.0,16133.0,19975.0,33619,10100.0,No,853,No
10,2004,6,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 5.7L,PURPLE,AUTO,Alloy,74026,AMERICAN,LARGE TRUCK,CHRYSLER,6964.0,8498.0,10836.0,12389.0,8132.0,9370.0,11798.0,13307.0,33619,10200.0,No,920,No
